samplingFrequency,polynomialAugmentation,features,history,epochs_trained,dropout_rate,mc_samples,MAPE_P50,RMSE_P50,nRMSE_P50,MAE_P50,nMAE_P50,R2_P50,MBE_P50,PICP_80,PINAW,QuantileLoss_P10,QuantileLoss_P50,QuantileLoss_P90,AvgQuantileScore,IntervalWidth
1_hour,1,GHI,10,41,0.2,100,55.1698716883061,86.76871606909576,0.24845646926835244,60.975523631989006,0.1745993717520137,0.8832974689558964,13.732457250412653,22.481625594466063,0.10835679560132135,29.71640238041858,30.487761815994503,18.967223927699873,26.39046270803765,37.84155856104202
1_hour,1,GHI,20,44,0.2,100,41.408277468893786,99.88567393889606,0.2859817390535006,69.76973957898075,0.1997570889926889,0.8454034501400437,-19.963790967234345,22.058823529411764,0.11045642628743639,21.900453859844173,34.884869789490374,35.70872872503282,30.831350791455787,38.5794373344186
1_hour,2,GHI,10,50,0.2,100,42.96797502599079,86.80598798349389,0.24856319492563725,58.832071160647466,0.16846173762302694,0.8831971871684707,10.124772280630381,20.70903588413316,0.1012318458454826,25.21909850354319,29.416035580323733,21.946386611112654,25.52717356499319,35.353304807008286
1_hour,2,GHI,20,50,0.2,100,38.97686484349807,81.16324225197644,0.23237771995851955,52.25991478840232,0.1496248733638992,0.8979266979495841,-0.08631511547277283,31.185121107266433,0.11086451599054276,21.21136317006854,26.12995739420116,20.173514259421086,22.504944941230264,38.721972012182334
1_hour,1,GHI_d1,10,50,0.2,100,40.73757957392633,84.14673234059289,0.2409485925914159,54.89171242596991,0.1571787814699234,0.8902439562191905,5.260950993840311,29.009943795936017,0.10899154005296537,22.920946254970477,27.445856212984953,20.607554891421202,23.658119119792207,38.06323103857227
1_hour,1,GHI_d1,20,50,0.2,100,41.78856369624835,88.12158359845296,0.25230008200225534,62.91441186015592,0.18012966430303315,0.879674416801193,-7.179850732315927,21.323529411764707,0.11627742411669648,22.977664812637368,31.45720593007796,26.171949050011296,26.868939930908876,40.61255417990964
1_hour,2,GHI_d1,10,39,0.2,100,46.542267516980985,90.48649129066072,0.2591020722797861,62.52764040477636,0.179043755289415,0.8730825232177586,19.864064809219446,21.48724600086468,0.11823491100717984,28.796555943705712,31.26382020238818,19.797087059245577,26.619154401779824,41.29130327275226
1_hour,2,GHI_d1,20,50,0.2,100,68.93749546096008,91.90498623117843,0.26313230670254933,65.69053186391383,0.18807794752712764,0.8691205269429805,15.408320573022317,24.610726643598614,0.12117011120261233,30.942360049860632,32.84526593195692,21.78683724780379,28.524821076540444,42.321437231555855
1_hour,1,GHI_season,10,50,0.2,100,49.10091492502641,94.98468455725153,0.27198235065354764,65.40156723247921,0.18727305433745017,0.8601504406374921,25.504145457735184,22.69779507133593,0.12785389102725217,31.078313506249643,32.700783616239605,19.698140808646365,27.825745977045205,44.6505498590607
1_hour,1,GHI_season,20,43,0.2,100,50.27660800015275,86.81007197568708,0.24854510533866583,61.832228170724655,0.17703127430099733,0.883229370422691,-4.531252876477787,20.069204152249135,0.11359637184682883,23.845275716319687,30.916114085362327,24.463459105960553,26.408282969214188,39.676135254255655
1_hour,2,GHI_season,10,50,0.2,100,55.46882439609718,90.13323919300835,0.25809055830423694,63.25904602465266,0.18113808681983415,0.8740715404806543,27.84752729156012,19.628188499783832,0.10929461872734171,31.83164867738418,31.62952301232633,18.265506974326605,27.242226221345703,38.16907552521816
1_hour,2,GHI_season,20,50,0.2,100,43.719192791453715,93.91676350042547,0.2688922073906052,63.96014851342765,0.18312370313664592,0.8633279764107901,27.869972707451424,25.60553633217993,0.12832283693660657,32.02434252067394,31.980074256713824,17.451781226055147,27.152066001147634,44.81969055641741
1_hour,1,GHI_season_d1,10,37,0.2,100,39.92490071707168,83.91521368827843,0.24028565427067353,56.52627602815743,0.1618592460404798,0.8908470839631532,-8.776605165745895,27.626459143968873,0.11454192929088167,20.942669193060603,28.263138014078717,23.222009540793582,24.142605582644297,40.00159935426124
1_hour,1,GHI_season_d1,20,47,0.2,100,60.957628654299135,88.73783777007222,0.25406447355861067,62.07716327043477,0.17773254569466274,0.8779856041989069,14.171208161983907,26.513840830449826,0.12060508111533368,30.303232091729683,31.038581635217383,19.670922600068916,27.00424544233866,42.12408752926237
1_hour,2,GHI_season_d1,10,50,0.2,100,49.893855049946474,89.72341770597707,0.25691706163042405,65.99198674318691,0.1889636814858428,0.8752140903744079,-28.285222803150788,14.613056636402941,0.10318613891287956,19.423271641122753,32.99599337159346,33.56980608637044,28.663023699695554,36.03580464603489
1_hour,2,GHI_season_d1,20,50,0.2,100,57.270872407579276,85.99647734112227,0.24621571014812252,62.623589204079884,0.1792970126758172,0.8854078909832409,4.274066193181746,19.852941176470587,0.11428927176956029,28.05055032962187,31.311794602039942,21.785829592634773,27.04939150809886,39.9181464259595
