config,scale_factor,original_coverage_test,calibrated_coverage_test,coverage_improvement,original_width_test,calibrated_width_test,width_increase_pct,status,n_samples
15_minutes_GHI_d1_P1_H10,4.705735806615569,45.45302853328884,88.3864508593359,42.93342232604706,38.543923711187766,271.77085632347973,605.0939036717621,✅ Good,8561
15_minutes_GHI_d1_P1_H20,5.052905506603352,22.54672897196262,86.8324432576769,64.28571428571428,43.79980381088434,330.8833194556054,655.4447524109233,✅ Good,8560
15_minutes_GHI_d1_P2_H10,4.859847633895834,47.75571500083431,87.90255297847489,40.14683797764058,38.228619607275974,277.8837015292689,626.8996484413469,✅ Good,8561
15_minutes_GHI_d1_P2_H20,9.971766375020888,3.571428571428571,58.61148197596796,55.04005340453939,35.51724297683705,530.3677192603933,1393.2682686161147,⚠️ Needs review,8560
15_minutes_GHI_P1_H10,4.659772725276419,46.938094443517436,88.48656766227265,41.54847321875521,39.234040349195105,273.82733510336624,597.9330516720128,✅ Good,8561
15_minutes_GHI_P1_H20,4.877722663921069,27.686915887850468,91.4218958611482,63.73497997329773,45.73573718583393,333.6707256098779,629.5623644462172,⚠️ Needs review,8560
15_minutes_GHI_P2_H10,4.768939329796901,48.323043550809274,87.91923911229767,39.5961955614884,38.90967583658442,278.009625382056,614.4999782307627,✅ Good,8561
15_minutes_GHI_P2_H20,3.6857101695127774,49.215620827770366,87.56675567423231,38.351134846461946,46.192436668138235,255.02223950388927,452.08657065669325,✅ Good,8560
15_minutes_GHI_season_d1_P1_H10,6.562312488580055,24.445186050392124,84.78224595361255,60.33705990322042,48.253634206209256,472.0743363172398,878.3187195804901,✅ Excellent,8561
15_minutes_GHI_season_d1_P1_H20,3.7826264522325865,47.94726301735647,89.40253671562083,41.45527369826436,58.25877999817688,329.55244263718754,465.6700031265681,✅ Good,8560
15_minutes_GHI_season_d1_P2_H10,3.069272567069795,47.45536459202403,89.20407141665277,41.748706824628734,58.52397023071982,268.699997022877,359.12810761740445,✅ Good,8561
15_minutes_GHI_season_d1_P2_H20,3.0583492419872305,55.45727636849133,89.15220293724967,33.69492656875834,62.52468177240652,285.6749263287571,356.89944871471795,✅ Good,8560
